name,number,ad_id
Monument historique,3,ad_1475
Théâtre,1,ad_1475
"Parc, Jardin et Square",3,ad_1475
Terrain et Salle de sport,8,ad_1475
Banque,4,ad_1475
Boucherie,8,ad_1475
Boulangerie,23,ad_1475
Bureau de poste,3,ad_1475
Marché de quartier,2,ad_1475
Presse et Tabac,2,ad_1475
Supérette,12,ad_1475
Supermarché et Hypermarché,18,ad_1475
Collège,3,ad_1475
Ecole maternelle,7,ad_1475
Ecole primaire,9,ad_1475
Enseignement supérieur,2,ad_1475
Lycée,1,ad_1475
Crèche,12,ad_1475
Autolib',7,ad_1475
Location de vélo,14,ad_1475
Parking,1,ad_1475
Station de taxi,2,ad_1475
Vélib',13,ad_1475
Médecin généraliste,43,ad_1475
Médecin spécialiste,27,ad_1475
Pharmacie,20,ad_1475
Bar,15,ad_2035
Restaurant,52,ad_2035
Monument historique,5,ad_2035
Théâtre,6,ad_2035
"Parc, Jardin et Square",3,ad_2035
Terrain et Salle de sport,11,ad_2035
Banque,4,ad_2035
Boucherie,4,ad_2035
Boulangerie,8,ad_2035
Bureau de poste,2,ad_2035
Presse et Tabac,4,ad_2035
Supérette,6,ad_2035
Supermarché et Hypermarché,10,ad_2035
Collège,2,ad_2035
Ecole maternelle,5,ad_2035
Ecole primaire,4,ad_2035
Enseignement supérieur,6,ad_2035
Lycée,4,ad_2035
Crèche,8,ad_2035
Autolib',4,ad_2035
Location de vélo,7,ad_2035
Station de taxi,2,ad_2035
Vélib',8,ad_2035
Médecin généraliste,38,ad_2035
Médecin spécialiste,50,ad_2035
Pharmacie,18,ad_2035
Bar,17,ad_943
Restaurant,47,ad_943
Monument historique,2,ad_943
"Parc, Jardin et Square",3,ad_943
Salle de musculation / cardiotraining,1,ad_943
Terrain et Salle de sport,4,ad_943
Banque,2,ad_943
Boucherie,3,ad_943
Boulangerie,3,ad_943
Bureau de poste,1,ad_943
Marché de quartier,1,ad_943
Supérette,3,ad_943
Supermarché et Hypermarché,6,ad_943
Ecole maternelle,1,ad_943
Ecole primaire,5,ad_943
Enseignement supérieur,3,ad_943
Crèche,8,ad_943
Autolib',5,ad_943
Location de vélo,6,ad_943
Parking,2,ad_943
Vélib',6,ad_943
Médecin généraliste,6,ad_943
Médecin spécialiste,9,ad_943
Pharmacie,10,ad_943
Bar,14,ad_730
Restaurant,40,ad_730
Monument historique,66,ad_730
Théâtre,6,ad_730
Cinéma,1,ad_730
"Parc, Jardin et Square",1,ad_730
Terrain et Salle de sport,6,ad_730
Banque,10,ad_730
Boucherie,1,ad_730
Boulangerie,6,ad_730
Bureau de poste,1,ad_730
Marché de quartier,1,ad_730
Presse et Tabac,9,ad_730
Supérette,2,ad_730
Supermarché et Hypermarché,4,ad_730
Ecole maternelle,1,ad_730
Ecole primaire,1,ad_730
Enseignement supérieur,7,ad_730
Lycée,4,ad_730
Crèche,3,ad_730
Autolib',6,ad_730
Location de vélo,10,ad_730
Parking,1,ad_730
Station de taxi,1,ad_730
Vélib',12,ad_730
Médecin généraliste,11,ad_730
Médecin spécialiste,23,ad_730
Pharmacie,11,ad_730
Bar,8,ad_419
Restaurant,34,ad_419
Monument historique,4,ad_419
Théâtre,1,ad_419
Cinéma,2,ad_419
"Parc, Jardin et Square",2,ad_419
Terrain et Salle de sport,6,ad_419
Banque,5,ad_419
Boucherie,1,ad_419
Boulangerie,10,ad_419
Bureau de poste,2,ad_419
Presse et Tabac,5,ad_419
Supérette,9,ad_419
Supermarché et Hypermarché,12,ad_419
Collège,3,ad_419
Ecole maternelle,5,ad_419
Ecole primaire,5,ad_419
Lycée,5,ad_419
Crèche,8,ad_419
Autolib',1,ad_419
Location de vélo,9,ad_419
Station de taxi,1,ad_419
Station service,1,ad_419
Vélib',7,ad_419
Hôpital,1,ad_419
Médecin généraliste,20,ad_419
Médecin spécialiste,19,ad_419
Pharmacie,11,ad_419
Bar,3,ad_1604
Restaurant,33,ad_1604
Monument historique,2,ad_1604
Cinéma,1,ad_1604
"Parc, Jardin et Square",2,ad_1604
Terrain et Salle de sport,7,ad_1604
Banque,3,ad_1604
Boucherie,1,ad_1604
Boulangerie,11,ad_1604
Bureau de poste,2,ad_1604
Marché de quartier,1,ad_1604
Presse et Tabac,2,ad_1604
Supérette,8,ad_1604
Supermarché et Hypermarché,10,ad_1604
Collège,8,ad_1604
Ecole maternelle,3,ad_1604
Ecole primaire,5,ad_1604
Enseignement supérieur,1,ad_1604
Lycée,5,ad_1604
Crèche,14,ad_1604
Autolib',4,ad_1604
Location de vélo,8,ad_1604
Parking,3,ad_1604
Station service,6,ad_1604
Vélib',11,ad_1604
Médecin généraliste,29,ad_1604
Médecin spécialiste,13,ad_1604
Pharmacie,6,ad_1604
Bar,6,ad_810
Restaurant,37,ad_810
Monument historique,2,ad_810
Théâtre,7,ad_810
"Parc, Jardin et Square",9,ad_810
Terrain et Salle de sport,9,ad_810
Banque,7,ad_810
Boucherie,3,ad_810
Boulangerie,6,ad_810
Bureau de poste,1,ad_810
Marché de quartier,1,ad_810
Presse et Tabac,5,ad_810
Supérette,3,ad_810
Supermarché et Hypermarché,8,ad_810
Collège,2,ad_810
Ecole maternelle,4,ad_810
Ecole primaire,2,ad_810
Enseignement supérieur,3,ad_810
Crèche,10,ad_810
Ludothèque,1,ad_810
Autolib',4,ad_810
Gare ferroviaire,1,ad_810
Location de vélo,7,ad_810
Station service,3,ad_810
Vélib',8,ad_810
Médecin généraliste,18,ad_810
Médecin spécialiste,27,ad_810
Pharmacie,6,ad_810
Bar,1,ad_1149
Restaurant,11,ad_1149
Monument historique,10,ad_1149
"Parc, Jardin et Square",55,ad_1149
Salle de musculation / cardiotraining,2,ad_1149
Terrain et Salle de sport,9,ad_1149
Banque,14,ad_1149
Boucherie,2,ad_1149
Boulangerie,6,ad_1149
Bureau de poste,1,ad_1149
Presse et Tabac,2,ad_1149
Supérette,3,ad_1149
Supermarché et Hypermarché,6,ad_1149
Collège,4,ad_1149
Ecole primaire,3,ad_1149
Enseignement supérieur,1,ad_1149
Lycée,4,ad_1149
