ad_id,value
ad_627,Interphone
ad_627,Gardien
ad_620,80 m²
ad_620,4 pièces
ad_620,2 chambres
ad_620,Récent
ad_620,1 terrasse
ad_620,Exposé Est
ad_620,Chauffage : gaz collectif 
ad_620,1 salle de bain
ad_620,1 salle d’eau
ad_620,2 WC
ad_620,Fibre : déployée*
ad_620,Calme
ad_620,Rez-de-chaussée
ad_870,23 m²
ad_870,2 pièces
ad_870,1 chambre
ad_870,1 salle d’eau
ad_870,1 WC
ad_870,Fibre : déployée*
ad_1171,60 m²
ad_1171,3 pièces
ad_1171,2 chambres
ad_1171,Exposé Sud
ad_1171,Chauffage : collectif
ad_1171,Cave
ad_1171,Duplex
ad_1171,1 salle d’eau
ad_1171,1 WC
ad_1171,8 étages
ad_1171,Ascenseur
ad_1428,78 m²
ad_1428,3 pièces
ad_1428,2 chambres
ad_1428,1 salle d’eau
ad_1428,4e étage (sur 7)
ad_1505,"53,42 m²"
ad_1505,2 pièces
ad_1505,1 chambre
ad_1505,Fibre : déployée*
ad_1505,4e étage (sur 5)
ad_1505,Ascenseur
ad_1505,Digicode
ad_1505,Interphone
ad_678,80 m²
ad_678,4 pièces
ad_678,2 chambres
ad_678,1 balcon
ad_678,Chauffage : gaz individuel 
ad_678,Cave
ad_678,1 salle de bain
ad_678,1 WC
ad_678,Fibre : déployée*
ad_678,6e étage
ad_678,Construit en 1870
ad_1109,95 m²
ad_1109,4 pièces
ad_1109,2 chambres
ad_1109,Exposé Nord
ad_1109,Cave
ad_1109,Cheminée
ad_1109,1 salle de bain
ad_1109,1 WC
ad_1109,Alarme
ad_1109,1er étage (sur 7)
ad_1109,Construit en 1900
ad_1109,Ascenseur
ad_1109,Digicode
ad_1109,Interphone
ad_888,"49,20 m²"
ad_888,2 pièces
ad_888,1 chambre
ad_888,Chauffage : collectif 
ad_888,Cave
ad_888,1 salle de bain
ad_888,1 WC
ad_888,Fibre : déployée*
ad_888,2e étage (sur 8)
ad_888,Construit en 1974
ad_888,Ascenseur
ad_1491,"27,50 m²"
ad_1491,1 pièce
ad_1491,1 salle d’eau
ad_1491,1 WC
ad_1491,Fibre : déployée*
ad_1491,1 box
ad_1491,Rez-de-chaussée
ad_1491,Construit en 1970
ad_1491,Ascenseur
ad_1491,Digicode
ad_1491,Gardien
ad_1758,"62,30 m²"
ad_1758,2 pièces
ad_1758,1 chambre
ad_1758,Cave
ad_1758,1 salle de bain
ad_1758,1 WC
ad_1758,Fibre : déployée*
ad_1758,Calme
ad_1758,1er étage (sur 7)
ad_1758,Construit en 1929
ad_1758,Ascenseur
ad_1758,Digicode
ad_1758,Interphone
ad_1758,Gardien
ad_2065,107 m²
ad_2065,5 pièces
ad_2065,3 chambres
ad_2065,Chauffage : gaz individuel
ad_2065,Cave
ad_2065,2 salles de bain
ad_2065,Fibre : déployée*
ad_2065,4e étage
ad_2065,Ascenseur
ad_2065,Gardien
ad_1956,38 m²
ad_1956,2 pièces
ad_1956,1 chambre
ad_1956,1 salle d’eau
ad_1956,1 WC
ad_1956,Fibre : déployée*
ad_1956,Calme
ad_1956,Construit en 1872
ad_1271,80 m²
ad_1271,3 pièces
ad_1271,2 chambres
ad_1271,Exposé Sud Ouest
ad_1271,1 salle d’eau
ad_1271,1 WC
ad_1271,Fibre : déployée*
ad_1271,3e étage (sur 6)
ad_1271,Construit en 1930
ad_1271,Ascenseur
ad_1271,Digicode
ad_1271,Interphone
ad_1271,Gardien
ad_1113,60 m²
ad_1113,18 m² de terrain
ad_1113,3 pièces
ad_1113,2 chambres
ad_1113,1 balcon
ad_1113,Jardin
ad_1113,Exposé Sud Ouest
ad_1113,Cave
ad_1113,Cheminée
ad_1113,1 WC
ad_1113,Alarme
ad_1113,Fibre : déployée*
ad_1113,Calme
ad_1113,Climatisation
ad_1113,Rez-de-chaussée
ad_1113,Construit en 1916
ad_1113,Ascenseur
ad_1113,Digicode
ad_1113,Interphone
ad_1113,Gardien
ad_451,"124,12 m²"
ad_451,5 pièces
ad_451,3 chambres
ad_451,Exposé Sud Ouest
ad_451,Cave
ad_451,1 salle de bain
ad_451,1 salle d’eau
ad_451,1 WC
ad_451,Fibre : déployée*
ad_451,Calme
ad_451,7 étages
ad_451,Construit en 1928
ad_451,Ascenseur
ad_451,Digicode
ad_451,Interphone
ad_451,Gardien
ad_254,34 m²
ad_254,2 pièces
ad_254,1 chambre
ad_254,Exposé Est
ad_254,Chauffage : gaz collectif
ad_254,Cave
ad_254,1 salle d’eau
ad_254,1 WC
ad_254,Fibre : déployée*
ad_254,Rez-de-chaussée
ad_254,Ascenseur
ad_1901,34 m²
ad_1901,2 pièces
ad_1901,1 chambre
ad_1901,1 balcon
ad_1901,Cave
ad_1901,1 salle d’eau
ad_1901,1 WC
ad_1901,Fibre : déployée*
ad_1901,2e étage (sur 6)
ad_1901,Construit en 1900
ad_1901,Interphone
ad_1031,27 m²
ad_1031,2 pièces
ad_1031,1 chambre
ad_1031,Chauffage : électricité 
ad_1031,Cave
ad_1031,Cheminée
ad_1031,1 salle de bain
ad_1031,1 WC
ad_1031,Dernier étage (sur 3)
ad_1031,Interphone
ad_1661,"28,20 m²"
ad_1661,2 pièces
ad_1661,1 chambre
ad_1661,Chauffage : Individuel
ad_1661,1 cave
ad_1661,1 salle de bain
ad_1661,1 WC
